trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-141.81227949770607,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-112.36386582410802,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,13,-92.18950907323766,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-147.00430804389254,"{0: 23, 1: 0, 2: 3, 3: 1, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-134.35727503123542,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",35,12,-68.57548569030023,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-123.59837699208175,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-111.29254632210882,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,12,-19.058472119116306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",20,2,-59.57730443272695,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-81.69049536499396,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-59.604550854611695,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,14,-19.883301004153033,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-65.85710939370811,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,15,-53.50466125695649,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,15,-14.357197259183467,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-121.03286465951366,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-205.93131535297132,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 4}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-166.11633254757405,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",30,16,-0.2331400273666282,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",35,0,-207.94802081303402,"{0: 22, 1: 3, 2: 6, 3: 0, 4: 4}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-29.200018154586413,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,8,2.273283725028241,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
